URL,ID,Title,Adress,Built_in_Year,Floors,Type,Price,Location,Bath(s),Area,Purpose,Bedroom(s),Added,img_URLS
https://www.zameen.com/Property/bahria_town_precinct_12_bahria_town_ali_block_this_villa_is_located_in_ali_block__bahria_town__karachi-45892572-10023-1.html,45892572,"This Villa Is Located in Ali Block, BAHRIA Town, Karachi","Bahria Town - Ali Block, Bahria Town - Precinct 12, Bahria Town Karachi, Karachi, Sindh",,,House,1.45 Crore,"Bahria Town Karachi, Karachi, Sindh",3,125 Sq. Yd.,For Sale,3,9 hours ago,"https://media.zameen.com/thumbnails/223078541-800x600.jpeg,https://media.zameen.com/thumbnails/223078541-800x600.jpeg,https://media.zameen.com/thumbnails/223078549-800x600.jpeg,https://media.zameen.com/thumbnails/223078550-800x600.jpeg"
https://www.zameen.com/Property/d_h_a_dha_phase_5_dha_kh_mujahid_500_yard_renovated_bungalow_phase_5_nice_location_-45835357-1482-1.html,45835357,Dha kh mujahid 500 yard renovated bungalow phase 5 nice location,"DHA Phase 5, DHA Defence, Karachi, Sindh",2005,,House,11 Crore,"DHA Defence, Karachi, Sindh",5,500 Sq. Yd.,For Sale,4,44 minutes ago,"https://media.zameen.com/thumbnails/222630909-800x600.jpeg,https://media.zameen.com/thumbnails/222630909-800x600.jpeg,https://media.zameen.com/thumbnails/222630920-800x600.jpeg,https://media.zameen.com/thumbnails/222630921-800x600.jpeg"
https://www.zameen.com/Property/bahria_town_precinct_12_bahria_town_ali_block_centrally_located_house_in_bahria_town_ali_block_is_available_for_sale-44689583-10023-1.html,44689583,Centrally Located House In Bahria Town - Ali Block Is Available For sale,"Bahria Town - Ali Block, Bahria Town - Precinct 12, Bahria Town Karachi, Karachi, Sindh",,,House,1.5 Crore,"Bahria Town Karachi, Karachi, Sindh",4,125 Sq. Yd.,For Sale,4,8 hours ago,"https://media.zameen.com/thumbnails/212804123-800x600.jpeg,https://media.zameen.com/thumbnails/212804123-800x600.jpeg,https://media.zameen.com/thumbnails/212804128-800x600.jpeg,https://media.zameen.com/thumbnails/212804185-800x600.jpeg,https://img.youtube.com/vi/ma5ZcLwxGfg/sddefault.jpg,https://img.youtube.com/vi/ma5ZcLwxGfg/default.jpg"
https://www.zameen.com/Property/north_nazimabad_north_nazimabad_block_j_ideally_located_upper_portion_for_sale_in_north_nazimabad_block_j_available-45229936-7218-1.html,45229936,Ideally Located Upper Portion For sale In North Nazimabad - Block J Available,"North Nazimabad - Block J, North Nazimabad, Karachi, Sindh",,,Upper Portion,1.2 Crore,"North Nazimabad, Karachi, Sindh",2,110 Sq. Yd.,For Sale,2,21 minutes ago,"https://media.zameen.com/thumbnails/217403635-800x600.jpeg,https://media.zameen.com/thumbnails/217403635-800x600.jpeg,https://media.zameen.com/thumbnails/217403647-800x600.jpeg,https://media.zameen.com/thumbnails/217403655-800x600.jpeg,https://img.youtube.com/vi/ZEcKpVt5MdQ/sddefault.jpg,https://img.youtube.com/vi/ZEcKpVt5MdQ/default.jpg"
https://www.zameen.com/Property/karachi_frere_town_4_bedrooms_apartments_with_double_terrace_available_for_sale-45825694-224-1.html,45825694,4 Bedrooms Apartments With Double Terrace Available for Sale,"Frere Town, Karachi, Sindh",2008,in Building7,Flat,7.6 Crore,"Frere Town, Karachi, Sindh",5,378 Sq. Yd.,For Sale,4,2 hours ago,"https://media.zameen.com/thumbnails/222765499-800x600.jpeg,https://media.zameen.com/thumbnails/222765499-800x600.jpeg,https://media.zameen.com/thumbnails/222765500-800x600.jpeg,https://media.zameen.com/thumbnails/222765520-800x600.jpeg"
https://www.zameen.com/Property/d_h_a_dha_phase_6_dha_300_yard_fully_renovated_like_new_optional_two_unit_for_sale-45607235-1483-1.html,45607235,Dha 300 yard fully renovated like new optional two unit for sale,"DHA Phase 6, DHA Defence, Karachi, Sindh",2015,,House,7 Crore,"DHA Defence, Karachi, Sindh",6,300 Sq. Yd.,For Sale,5,44 minutes ago,"https://media.zameen.com/thumbnails/220584285-800x600.jpeg,https://media.zameen.com/thumbnails/220584285-800x600.jpeg,https://media.zameen.com/thumbnails/220584293-800x600.jpeg,https://media.zameen.com/thumbnails/220584294-800x600.jpeg"
https://www.zameen.com/Property/dha_phase_8_dha_phase_8_zone_a_dha_ph_8_600_yard_9_bed_slightly_used_house_for_sale-45586458-6677-1.html,45586458,dha ph 8 600 yard 9 bed slightly used house for sale,"DHA Phase 8 - Zone A, DHA Phase 8, DHA Defence, Karachi, Sindh",2020,,House,13 Crore,"DHA Defence, Karachi, Sindh",6,600 Sq. Yd.,For Sale,9,44 minutes ago,"https://media.zameen.com/thumbnails/220385644-800x600.jpeg,https://media.zameen.com/thumbnails/220385644-800x600.jpeg,https://media.zameen.com/thumbnails/222560507-800x600.jpeg,https://media.zameen.com/thumbnails/222560506-800x600.jpeg"
https://www.zameen.com/Property/d_h_a_dha_phase_7_dha_500_yard_bungalow_two_unit_well_maintained_phase_7-45832153-1484-1.html,45832153,Dha 500 yard bungalow two unit well maintained phase 7,"DHA Phase 7, DHA Defence, Karachi, Sindh",2010,,House,7.25 Crore,"DHA Defence, Karachi, Sindh",6,500 Sq. Yd.,For Sale,6,44 minutes ago,"https://media.zameen.com/thumbnails/222596324-800x600.jpeg,https://media.zameen.com/thumbnails/222596324-800x600.jpeg,https://media.zameen.com/thumbnails/222596325-800x600.jpeg,https://media.zameen.com/thumbnails/222596332-800x600.jpeg"
https://www.zameen.com/Property/north_nazimabad_north_nazimabad_block_j_110_square_yards_upper_portion_available_for_sale_in_north_nazimabad_block_j-45229757-7218-1.html,45229757,110 Square Yards Upper Portion Available For sale In North Nazimabad - Block J,"North Nazimabad - Block J, North Nazimabad, Karachi, Sindh",,,Upper Portion,1.05 Crore,"North Nazimabad, Karachi, Sindh",2,110 Sq. Yd.,For Sale,2,21 minutes ago,"https://media.zameen.com/thumbnails/217402281-800x600.jpeg,https://media.zameen.com/thumbnails/217402281-800x600.jpeg,https://media.zameen.com/thumbnails/217402294-800x600.jpeg,https://media.zameen.com/thumbnails/217402295-800x600.jpeg,https://img.youtube.com/vi/cQDANE4uWsg/sddefault.jpg,https://img.youtube.com/vi/cQDANE4uWsg/default.jpg"
https://www.zameen.com/Property/bahria_town_karachi_bahria_town_precinct_27_luxury_villa_for_sale_in_bahria_town_karachi_at_reasonable_prices_-45894143-10040-1.html,45894143,Luxury Villa for Sale In Bahria Town Karachi AT Reasonable Prices,"Bahria Town - Precinct 27, Bahria Town Karachi, Karachi, Sindh",2023,2,House,1.35 Crore,"Bahria Town Karachi, Karachi, Sindh",4,125 Sq. Yd.,For Sale,3,6 hours ago,"https://media.zameen.com/thumbnails/223094277-800x600.jpeg,https://media.zameen.com/thumbnails/223094277-800x600.jpeg,https://media.zameen.com/thumbnails/223094278-800x600.jpeg,https://media.zameen.com/thumbnails/223094285-800x600.jpeg"
https://www.zameen.com/Property/north_nazimabad_north_nazimabad_block_i_buying_a_upper_portion_in_north_nazimabad_block_i_karachi_-45230065-7217-1.html,45230065,Buying A Upper Portion In North Nazimabad - Block I Karachi?,"North Nazimabad - Block I, North Nazimabad, Karachi, Sindh",,,Upper Portion,2.3 Crore,"North Nazimabad, Karachi, Sindh",3,200 Sq. Yd.,For Sale,3,22 minutes ago,"https://media.zameen.com/thumbnails/217404152-800x600.jpeg,https://media.zameen.com/thumbnails/217404152-800x600.jpeg,https://media.zameen.com/thumbnails/217404163-800x600.jpeg,https://media.zameen.com/thumbnails/217404171-800x600.jpeg"
https://www.zameen.com/Property/north_nazimabad_north_nazimabad_block_j_prime_location_property_for_sale_in_north_nazimabad_block_j_karachi_is_available_under_rs_15_000_000-45229239-7218-1.html,45229239,"Prime Location Property For sale In North Nazimabad - Block J Karachi Is Available Under Rs. 15,000,000","North Nazimabad - Block J, North Nazimabad, Karachi, Sindh",,,Upper Portion,1.5 Crore,"North Nazimabad, Karachi, Sindh",3,120 Sq. Yd.,For Sale,3,20 minutes ago,"https://media.zameen.com/thumbnails/217399416-800x600.jpeg,https://media.zameen.com/thumbnails/217399416-800x600.jpeg,https://media.zameen.com/thumbnails/217399433-800x600.jpeg,https://media.zameen.com/thumbnails/217399434-800x600.jpeg,https://img.youtube.com/vi/b4im1Rxb7CU/sddefault.jpg,https://img.youtube.com/vi/b4im1Rxb7CU/default.jpg"
https://www.zameen.com/Property/gulistan_e_jauhar_gulistan_e_jauhar_block_15_just_like_brand_new_beautiful_portion_for_sale_in_prime_block_of_jauhar-45731760-6839-1.html,45731760,Just like Brand New Beautiful Portion for sale in Prime Block of jauhar,"Gulistan-e-Jauhar - Block 15, Gulistan-e-Jauhar, Karachi, Sindh",2019,,Upper Portion,1.7 Crore,"Gulistan-e-Jauhar, Karachi, Sindh",3,300 Sq. Yd.,For Sale,3,2 hours ago,"https://media.zameen.com/thumbnails/221750725-800x600.jpeg,https://media.zameen.com/thumbnails/221750725-800x600.jpeg,https://media.zameen.com/thumbnails/221750726-800x600.jpeg,https://media.zameen.com/thumbnails/221812555-800x600.jpeg"
https://www.zameen.com/Property/d_h_a_dha_phase_8_2nd_floor_brand_new_west_open_apartment_with_lift_parking_stand_by_generator_for_everything_dha_phase_8-44409147-1485-1.html,44409147,2nd Floor Brand New West Open Apartment With Lift Parking Stand By Generator For Everything Dha Phase 8,"DHA Phase 8, DHA Defence, Karachi, Sindh",2023,in Building5,Flat,3.1 Crore,"DHA Defence, Karachi, Sindh",4,183 Sq. Yd.,For Sale,3,35 minutes ago,"https://media.zameen.com/thumbnails/205502739-800x600.jpeg,https://media.zameen.com/thumbnails/205502739-800x600.jpeg,https://media.zameen.com/thumbnails/205502798-800x600.jpeg,https://media.zameen.com/thumbnails/205503073-800x600.jpeg"
https://www.zameen.com/Property/bahria_town_karachi_bahria_apartments_buying_a_flat_in_karachi_-44974143-9030-1.html,44974143,Buying A Flat In Karachi?,"Bahria Apartments, Bahria Town Karachi, Karachi, Sindh",,,Flat,65 Lakh,"Bahria Town Karachi, Karachi, Sindh",2,106 Sq. Yd.,For Sale,2,8 minutes ago,"https://media.zameen.com/thumbnails/215298930-800x600.jpeg,https://media.zameen.com/thumbnails/215298930-800x600.jpeg,https://media.zameen.com/thumbnails/215298938-800x600.jpeg,https://media.zameen.com/thumbnails/215298939-800x600.jpeg"
https://www.zameen.com/Property/saadi_town_saadi_town_block_7_prime_location-45162161-15537-1.html,45162161,Prime Location,"Saadi Town - Block 7, Saadi Town, Scheme 33, Karachi, Sindh",,,House,1.9 Crore,"Scheme 33, Karachi, Sindh",5,120 Sq. Yd.,For Sale,4,6 hours ago,"https://media.zameen.com/thumbnails/216807890-800x600.jpeg,https://media.zameen.com/thumbnails/216807890-800x600.jpeg,https://media.zameen.com/thumbnails/216807891-800x600.jpeg,https://media.zameen.com/thumbnails/216807910-800x600.jpeg,https://img.youtube.com/vi/VMauP5AbddA/sddefault.jpg,https://img.youtube.com/vi/VMauP5AbddA/default.jpg"
https://www.zameen.com/Property/dha_phase_6_bukhari_commercial_area_two_bed_rooms_furnished_flat_for_sale_dha_phase_6-42059471-6674-1.html,42059471,Two Bed Rooms Furnished Flat For Sale Dha Phase 6,"Bukhari Commercial Area, DHA Phase 6, DHA Defence, Karachi, Sindh",,in Building4,Flat,1.2 Crore,"DHA Defence, Karachi, Sindh",2,106 Sq. Yd.,For Sale,2,50 minutes ago,"https://media.zameen.com/thumbnails/206434648-800x600.jpeg,https://media.zameen.com/thumbnails/206434648-800x600.jpeg,https://media.zameen.com/thumbnails/206434745-800x600.jpeg,https://media.zameen.com/thumbnails/206434885-800x600.jpeg"
https://www.zameen.com/Property/bahria_town_precinct_12_bahria_town_ali_block_centrally_located_house_in_bahria_town_ali_block_is_available_for_sale-45211414-10023-1.html,45211414,Centrally Located House In Bahria Town - Ali Block Is Available For sale,"Bahria Town - Ali Block, Bahria Town - Precinct 12, Bahria Town Karachi, Karachi, Sindh",,,House,1.38 Crore,"Bahria Town Karachi, Karachi, Sindh",3,125 Sq. Yd.,For Sale,3,7 minutes ago,"https://media.zameen.com/thumbnails/217214889-800x600.jpeg,https://media.zameen.com/thumbnails/217214889-800x600.jpeg,https://media.zameen.com/thumbnails/217214890-800x600.jpeg,https://media.zameen.com/thumbnails/217214897-800x600.jpeg"
https://www.zameen.com/Property/d_h_a_dha_phase_7_500_500_pair__corner_park_facing_west_open-41156441-1484-1.html,41156441,500+500 ( Pair) Corner Park Facing West Open,"DHA Phase 7, DHA Defence, Karachi, Sindh",2005,2,House,11.85 Crore,"DHA Defence, Karachi, Sindh",10,500 Sq. Yd.,For Sale,10,51 minutes ago,"https://media.zameen.com/thumbnails/206435069-800x600.jpeg,https://media.zameen.com/thumbnails/206435069-800x600.jpeg,https://media.zameen.com/thumbnails/217670271-800x600.jpeg,https://media.zameen.com/thumbnails/206436073-800x600.jpeg"
https://www.zameen.com/Property/d_h_a_dha_phase_6_1000_yards_architect_designed_slightly_used_house-40056653-1483-1.html,40056653,1000 Yards Architect Designed Slightly Used House,"DHA Phase 6, DHA Defence, Karachi, Sindh",2010,3,House,24 Crore,"DHA Defence, Karachi, Sindh",6,"1,000 Sq. Yd.",For Sale,6,51 minutes ago,"https://media.zameen.com/thumbnails/206434513-800x600.jpeg,https://media.zameen.com/thumbnails/206434513-800x600.jpeg,https://media.zameen.com/thumbnails/206434624-800x600.jpeg,https://media.zameen.com/thumbnails/206436327-800x600.jpeg"
https://www.zameen.com/Property/malir_cantonment_askari_5_3rd_floor__corner_flat-40479533-6655-1.html,40479533,"3rd Floor, Corner Flat","Askari 5, Malir Cantonment, Cantt, Karachi, Sindh",,,Flat,3.55 Crore,"Cantt, Karachi, Sindh",3,289 Sq. Yd.,For Sale,3,4 hours ago,"https://media.zameen.com/thumbnails/212807769-800x600.jpeg,https://media.zameen.com/thumbnails/212807769-800x600.jpeg,https://media.zameen.com/thumbnails/212807783-800x600.jpeg,https://media.zameen.com/thumbnails/212807807-800x600.jpeg"
https://www.zameen.com/Property/askari_5_askari_5_sector_j_reserve_a_house_now_in_askari_5_sector_j-40601944-17289-1.html,40601944,Reserve A House Now In Askari 5 - Sector J,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt, Karachi, Sindh",,,House,6.2 Crore,"Cantt, Karachi, Sindh",5,375 Sq. Yd.,For Sale,5,4 hours ago,"https://media.zameen.com/thumbnails/212807693-800x600.jpeg,https://media.zameen.com/thumbnails/212807693-800x600.jpeg,https://media.zameen.com/thumbnails/212807784-800x600.jpeg,https://media.zameen.com/thumbnails/212807873-800x600.jpeg,https://img.youtube.com/vi/-_CGgqo9dE4/sddefault.jpg,https://img.youtube.com/vi/-_CGgqo9dE4/default.jpg"
https://www.zameen.com/Property/dha_phase_6_bukhari_commercial_area_2_bed_apartment_for_sale_dha_phase_6_big_bukhari_commercial-45712810-6674-1.html,45712810,"2 BED APARTMENT FOR SALE
DHA PHASE 6
BIG BUKHARI COMMERCIAL","Bukhari Commercial Area, DHA Phase 6, DHA Defence, Karachi, Sindh",,in Building4,Flat,1.4 Crore,"DHA Defence, Karachi, Sindh",2,106 Sq. Yd.,For Sale,2,50 minutes ago,"https://media.zameen.com/thumbnails/221544374-800x600.jpeg,https://media.zameen.com/thumbnails/221544374-800x600.jpeg,https://media.zameen.com/thumbnails/221544375-800x600.jpeg,https://media.zameen.com/thumbnails/221544382-800x600.jpeg"
https://www.zameen.com/Property/dha_phase_6_rahat_commercial_area_full_floor_apartment_for_sale__dha_phase_6-43327937-8502-1.html,43327937,"FULL FLOOR APARTMENT FOR SALE
DHA PHASE 6","Rahat Commercial Area, DHA Phase 6, DHA Defence, Karachi, Sindh",,in Building4,Flat,2.35 Crore,"DHA Defence, Karachi, Sindh",3,200 Sq. Yd.,For Sale,3,50 minutes ago,"https://media.zameen.com/thumbnails/206435388-800x600.jpeg,https://media.zameen.com/thumbnails/206435388-800x600.jpeg,https://media.zameen.com/thumbnails/206435409-800x600.jpeg,https://media.zameen.com/thumbnails/206436145-800x600.jpeg"
